Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
07-03-2023 07:00,EST,CAPITL,61757,95.59,0.85,-82.35,1
07-03-2023 08:00,EST,CAPITL,61757,90.66,1.04,-74.91,1
07-03-2023 09:00,EST,CAPITL,61757,77.49,0.56,-69.06,1
07-03-2023 10:00,EST,CAPITL,61757,97.61,0.7,-87.03,1
07-03-2023 11:00,EST,CAPITL,61757,80.12,0.43,-73.64,1
07-03-2023 12:00,EST,CAPITL,61757,73.62,0.26,-69.75,1
07-03-2023 13:00,EST,CAPITL,61757,62.76,0.2,-59.73,1
07-03-2023 14:00,EST,CAPITL,61757,68.06,0.2,-64.99,1
07-03-2023 15:00,EST,CAPITL,61757,80,0.2,-76.92,1
07-03-2023 16:00,EST,CAPITL,61757,90.96,0.22,-87.6,1
07-03-2023 17:00,EST,CAPITL,61757,138.27,0.26,-134.31,1
07-03-2023 18:00,EST,CAPITL,61757,129.6,1.22,-111.23,1
07-03-2023 19:00,EST,CAPITL,61757,115.9,1.14,-98.66,1
07-03-2023 20:00,EST,CAPITL,61757,109.79,0.72,-98.92,1
07-03-2023 21:00,EST,CAPITL,61757,104.02,0.6,-94.79,1
07-03-2023 22:00,EST,CAPITL,61757,94.08,0.54,-85.91,1
07-03-2023 23:00,EST,CAPITL,61757,52.94,1.25,-33.34,1
08-03-2023 00:00,EST,CAPITL,61757,49.89,1.01,-32.41,1
08-03-2023 01:00,EST,CAPITL,61757,46.45,0.9,-30.55,1
08-03-2023 02:00,EST,CAPITL,61757,44.68,0.9,-28.78,1
08-03-2023 03:00,EST,CAPITL,61757,43.83,1.02,-25.53,1
08-03-2023 04:00,EST,CAPITL,61757,44.78,1.04,-26.44,1
08-03-2023 05:00,EST,CAPITL,61757,52.09,1.18,-31.89,1
08-03-2023 06:00,EST,CAPITL,61757,80.71,1.49,-56.36,1
08-03-2023 07:00,EST,CAPITL,61757,75.98,1.67,-49.31,1
08-03-2023 08:00,EST,CAPITL,61757,63.39,1.63,-37.73,1
08-03-2023 09:00,EST,CAPITL,61757,51.67,1.4,-28.11,1
08-03-2023 10:00,EST,CAPITL,61757,45.4,1.39,-22.25,1
08-03-2023 11:00,EST,CAPITL,61757,41.37,1.37,-18.25,1
08-03-2023 12:00,EST,CAPITL,61757,39.94,1.16,-20.32,1
08-03-2023 13:00,EST,CAPITL,61757,40.07,1.13,-21.05,1
08-03-2023 14:00,EST,CAPITL,61757,39.85,1.1,-21.28,1
08-03-2023 15:00,EST,CAPITL,61757,43.12,1.09,-24.82,1
08-03-2023 16:00,EST,CAPITL,61757,52.64,0.87,-38.58,1
08-03-2023 17:00,EST,CAPITL,61757,59.95,1.23,-40.11,1
08-03-2023 18:00,EST,CAPITL,61757,74.47,1.58,-49.91,1
08-03-2023 19:00,EST,CAPITL,61757,65.57,1.61,-40.95,1
08-03-2023 20:00,EST,CAPITL,61757,60.4,1.5,-37.51,1
08-03-2023 21:00,EST,CAPITL,61757,50.99,1.54,-26.76,1
08-03-2023 22:00,EST,CAPITL,61757,40.98,1.49,-16.48,1
08-03-2023 23:00,EST,CAPITL,61757,38.76,1.58,-12.19,1
09-03-2023 00:00,EST,CAPITL,61757,34.52,1.47,-10.16,1
09-03-2023 01:00,EST,CAPITL,61757,32.26,1.39,-8.07,1
09-03-2023 02:00,EST,CAPITL,61757,33.23,1.44,-8.95,1
09-03-2023 03:00,EST,CAPITL,61757,31.82,1.42,-7.95,1
09-03-2023 04:00,EST,CAPITL,61757,33.53,1.46,-9.25,1
